Ticket ID,Creation Date (OV),Resolution Date (FV),Affected Versions (AV)
ZOOKEEPER-5021,2026-03-05,2026-04-09,3.9.5
ZOOKEEPER-5012,2026-01-06,2026-02-19,3.9.4
ZOOKEEPER-5009,2025-12-24,2026-04-30,3.9.4
ZOOKEEPER-4992,2025-11-07,2026-04-22,3.9.4
ZOOKEEPER-4989,2025-11-04,2025-11-10,3.9.4
ZOOKEEPER-4986,2025-10-06,2025-12-01,3.10.0|3.8.5|3.9.4
ZOOKEEPER-4985,2025-10-06,2026-05-15,3.9.4
ZOOKEEPER-4984,2025-10-01,2025-10-06,3.10.0|3.8.5|3.9.4
ZOOKEEPER-4974,2025-09-10,2025-09-12,3.10.0
ZOOKEEPER-4972,2025-08-26,2025-09-19,N/A
ZOOKEEPER-4960,2025-08-15,2025-08-17,3.10.0|3.8.4|3.9.3
ZOOKEEPER-4958,2025-08-15,2025-12-14,3.8.4|3.9.3
ZOOKEEPER-4953,2025-07-22,2025-08-06,3.9.3
ZOOKEEPER-4940,2025-06-18,2025-07-29,3.10.0|3.9.3
ZOOKEEPER-4933,2025-05-29,2025-06-05,N/A
ZOOKEEPER-4932,2025-05-20,2025-08-25,N/A
ZOOKEEPER-4928,2025-05-11,2025-05-12,3.9.3
ZOOKEEPER-4925,2025-04-30,2025-06-10,3.9.3
ZOOKEEPER-4921,2025-04-23,2025-05-11,3.9.3
ZOOKEEPER-4920,2025-04-20,2025-04-25,N/A
ZOOKEEPER-4919,2025-04-19,2025-04-19,3.8.4|3.9.3
ZOOKEEPER-4909,2025-03-18,2025-03-25,N/A
ZOOKEEPER-4907,2025-03-17,2025-03-25,N/A
ZOOKEEPER-4900,2025-02-28,2025-04-09,3.8.4|3.9.3
ZOOKEEPER-4890,2024-11-25,2025-08-25,N/A
ZOOKEEPER-4889,2024-11-24,2024-11-26,3.8.4|3.9.3
ZOOKEEPER-4888,2024-11-22,2026-04-30,3.9.2
ZOOKEEPER-4886,2024-11-14,2025-04-20,3.6.4|3.7.2|3.8.4|3.9.3
ZOOKEEPER-4877,2024-10-18,2024-10-18,3.9.2
ZOOKEEPER-4876,2024-10-16,2024-10-17,3.8.4|3.9.2
ZOOKEEPER-4872,2024-10-10,2024-11-27,3.9.1|3.9.2|3.9.3
ZOOKEEPER-4871,2024-10-09,2025-09-17,3.10.0
ZOOKEEPER-4858,2024-09-07,2024-12-21,3.9.0|3.9.1|3.9.2|3.9.3
ZOOKEEPER-4853,2024-08-26,2024-08-26,3.9.2
ZOOKEEPER-4848,2024-08-07,2024-10-18,3.8.4|3.9.2
ZOOKEEPER-4846,2024-07-28,2025-02-11,N/A
ZOOKEEPER-4843,2024-07-05,2024-09-20,3.8.4|3.9.2
ZOOKEEPER-4839,2024-06-18,2024-09-25,3.5.10|3.9.2
ZOOKEEPER-4830,2024-04-24,2024-04-24,3.8.4|3.9.2
ZOOKEEPER-4819,2024-03-26,2024-11-27,3.8.4|3.9.2
ZOOKEEPER-4814,2024-03-07,2024-08-11,3.9.0
ZOOKEEPER-4810,2024-02-20,2025-06-23,N/A
ZOOKEEPER-4809,2024-02-20,2024-08-02,3.7.2|3.8.4|3.9.2
ZOOKEEPER-4808,2024-02-12,2024-06-15,3.10.0
