Ticket ID,Commit Hash,Modified Java Files
ZOOKEEPER-4992,bbaaf0b17caac173c319742817a69f3242ce182a,zookeeper-server/src/main/java/org/apache/zookeeper/util/PemReader.java
ZOOKEEPER-5021,6c4fabfd4726d9b576a1b8acba9b273696079339,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeperMain.java
ZOOKEEPER-5012,2f0d22bcebf33fba9a45b15454e89f116197f918,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeer.java
ZOOKEEPER-4958,a7fe813aa3fee50c1a653b92e7f91e4c67f977ba,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/KeyAuthenticationProvider.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/X509AuthenticationProvider.java
ZOOKEEPER-4741,3fc7ccc053b1fb21aa553d9f41f263310a86d550,zookeeper-metrics-providers/zookeeper-prometheus-metrics/src/main/java/org/apache/zookeeper/metrics/prometheus/PrometheusMetricsProvider.java|zookeeper-metrics-providers/zookeeper-prometheus-metrics/src/main/java/org/apache/zookeeper/metrics/prometheus/PrometheusRegistryDumper.java
ZOOKEEPER-3100,229721e98d562f1d3a74e9f8212155483dce269f,zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeper.java|zookeeper-server/src/main/java/org/apache/zookeeper/client/StaticHostProvider.java|zookeeper-server/src/main/java/org/apache/zookeeper/client/ZKClientConfig.java
ZOOKEEPER-4736,e8e141b21f3a07797958c74053762048c7a3a0bf,zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxn.java|zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxnSocketNIO.java
ZOOKEEPER-4986,66c4efecdda1302d9cfb3af9eedb122b74452bf3,zookeeper-server/src/main/java/org/apache/zookeeper/common/ClientX509Util.java|zookeeper-server/src/main/java/org/apache/zookeeper/common/X509Util.java|zookeeper-server/src/main/java/org/apache/zookeeper/common/ZKConfig.java|zookeeper-server/src/main/java/org/apache/zookeeper/common/ZKTrustManager.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/X509AuthenticationProvider.java
ZOOKEEPER-4972,d8e5217729bfc7303b15bc36b1a6b7f1ecdd07d4,zookeeper-metrics-providers/zookeeper-prometheus-metrics/src/main/java/org/apache/zookeeper/metrics/prometheus/PrometheusMetricsProvider.java
ZOOKEEPER-4974,63bec256238e47d688638e3a308597a24a734bf0,zookeeper-server/src/main/java/org/apache/zookeeper/server/WorkerService.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumCnxManager.java
ZOOKEEPER-4240,641cf0085d0bb84ed8f23214d1c2ce201c8f7f11,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java
ZOOKEEPER-4953,bec08dfa0e63ffe7b72bc01a3ea9b0b69a50e3d2,zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/manager/ZooInspectorManager.java
ZOOKEEPER-4787,3d6c0d1164dc9ec96a02de383e410b1b0ef64565,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FastLeaderElection.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumCnxManager.java
ZOOKEEPER-4940,9d1d25cd75295b4529ce5348ba0cfce9ef4fefd7,zookeeper-server/src/main/java/org/apache/zookeeper/common/ClientX509Util.java
ZOOKEEPER-4921,5b4be58c30d9b4e6bab6e1ae828b324e419e6226,zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxn.java
ZOOKEEPER-4394,e5dd60bf0512ccc1e090d99410a8da48623219da,zookeeper-server/src/main/java/org/apache/zookeeper/server/Request.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/TxnLogEntry.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/ZKDatabase.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServer.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Follower.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Learner.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Observer.java
ZOOKEEPER-4925,e5dd60bf0512ccc1e090d99410a8da48623219da,zookeeper-server/src/main/java/org/apache/zookeeper/server/Request.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/TxnLogEntry.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/ZKDatabase.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServer.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Follower.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Learner.java|zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Observer.java
ZOOKEEPER-4933,524f1d750c62920f5fafdb3ee5abf9f69ff54e41,zookeeper-server/src/main/java/org/apache/zookeeper/server/BlueThrottle.java
