Project_Name;Class_Name;Release_ID;Size_LOC;N_Methods;NR_Release;NR_Total;Nfix_Release;Nfix_Total;Nauth_Release;Nauth_Total;MAX_LOC_Added_Release;Churn_Release;Churn_Total;AVG_Churn_Release;MAX_ChgSet_Release;N_Multi_Release;Sum_Multi_ChgSet_Release;Age_Weeks;Weighted_Age;ND;Entropy;Exp;Historical_Bug_Density;NSmells;Bugginess
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JDouble.java;1;13;3;8;8;7;7;2;2;41;43;43;5.38;229;8;1036;51;2193.00;11.38;1.42;5.00;0.875;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java;1;52;3;12;12;10;10;4;4;70;376;376;31.33;229;12;1158;29;10904.00;10.00;2.53;12.50;0.833;3;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/CGenerator.java;1;43;2;10;10;7;7;3;3;79;100;100;10.00;229;9;998;51;5100.00;9.00;1.47;8.90;0.700;7;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java;1;6;2;7;7;6;6;2;2;36;52;52;7.43;229;7;862;20;1040.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/Vote.java;1;38;6;11;11;10;10;4;4;44;141;141;12.82;229;11;1079;33;4653.00;9.18;1.82;14.91;0.909;4;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java;1;393;9;26;26;17;17;6;6;445;2386;2386;91.77;229;24;1443;51;121686.00;6.58;2.47;20.04;0.654;11;YES
ZOOKEEPER;src/java/main/org/apache/jute/RecordReader.java;1;57;3;8;8;7;7;2;2;98;100;100;12.50;229;8;1036;51;5100.00;11.38;1.42;5.00;0.875;9;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java;1;151;3;17;17;12;12;5;5;201;1052;1052;61.88;229;17;1301;51;53652.00;7.71;2.56;22.41;0.706;16;YES
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java;1;48;5;7;7;6;6;2;2;80;100;100;14.29;229;7;862;20;2000.00;11.71;2.48;10.57;0.857;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/SessionTracker.java;1;14;8;9;9;7;7;2;2;56;76;76;8.44;229;9;1138;51;3876.00;11.56;2.28;7.33;0.778;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java;1;71;14;9;9;8;8;3;3;109;138;138;15.33;229;9;934;20;2760.00;10.67;2.82;13.22;0.889;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java;1;59;4;12;12;11;11;3;3;85;650;650;54.17;229;11;1120;50;32500.00;9.58;1.99;19.42;0.917;9;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java;1;79;7;1;1;1;1;1;1;129;129;129;129.00;14;1;14;1;129.00;4.00;2.44;59.00;1.000;11;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java;1;353;36;8;8;7;7;2;2;457;459;459;57.38;229;8;1036;51;23409.00;11.38;1.42;5.00;0.875;34;NO
ZOOKEEPER;docs/skin/profile.css;1;129;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java;1;28;1;3;3;3;3;2;2;80;93;93;31.00;39;3;92;10;930.00;8.00;3.85;28.67;1.000;1;NO
