Dataset,Protocol,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Releases
ZooKeeper,10x10Fold,RandomForest,No,No,0.8166,0.7809,0.8591,0.5080,0.1953,18
ZooKeeper,10x10Fold,RandomForest,No,Yes,0.8044,0.7651,0.8598,0.5411,0.1924,17
ZooKeeper,10x10Fold,RandomForest,Yes,No,0.8155,0.7691,0.8132,0.4994,0.2036,18
ZooKeeper,10x10Fold,RandomForest,Yes,Yes,0.7999,0.7610,0.8292,0.5276,0.1927,17
ZooKeeper,10x10Fold,NaiveBayes,No,No,0.7987,0.6990,0.7869,0.4549,0.2146,18
ZooKeeper,10x10Fold,NaiveBayes,No,Yes,0.7876,0.7088,0.8086,0.4958,0.2140,17
ZooKeeper,10x10Fold,NaiveBayes,Yes,No,0.8051,0.6923,0.7531,0.4132,0.1913,18
ZooKeeper,10x10Fold,NaiveBayes,Yes,Yes,0.7973,0.6928,0.7959,0.4664,0.1928,17
ZooKeeper,10x10Fold,IBk,No,No,0.7985,0.7570,0.7509,0.4814,0.2649,18
ZooKeeper,10x10Fold,IBk,No,Yes,0.7887,0.7406,0.7713,0.5039,0.2640,17
ZooKeeper,10x10Fold,IBk,Yes,No,0.8079,0.7777,0.7601,0.4878,0.2619,18
ZooKeeper,10x10Fold,IBk,Yes,Yes,0.7955,0.7595,0.7763,0.5164,0.2624,17
