Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,1,RandomForest,No,No,0.8502,0.8531,0.9635,0.7831,0.1857,10
ZooKeeper,2,RandomForest,No,No,0.6617,0.7375,0.5500,0.2429,0.1875,10
ZooKeeper,3,RandomForest,No,No,0.7286,0.7333,0.8714,0.5473,0.1571,10
ZooKeeper,4,RandomForest,No,No,0.8830,0.9438,0.7500,-0.0720,0.1500,10
ZooKeeper,5,RandomForest,No,No,0.7153,0.7213,0.8964,0.5379,0.1617,10
ZooKeeper,7,RandomForest,No,No,0.8246,0.8676,0.7374,0.4880,0.1029,10
ZooKeeper,8,RandomForest,No,No,0.7785,0.5756,0.8692,0.5381,0.2268,10
ZooKeeper,9,RandomForest,No,No,0.8928,0.6250,0.9830,0.6306,0.2500,10
ZooKeeper,10,RandomForest,No,No,0.7587,0.6306,0.9549,0.6342,0.2722,10
ZooKeeper,11,RandomForest,No,No,0.7575,0.8765,0.8160,0.5433,0.1882,10
ZooKeeper,12,RandomForest,No,No,0.7973,0.6983,0.8765,0.5812,0.1300,10
ZooKeeper,14,RandomForest,No,No,1.0000,0.7000,1.0000,0.7750,0.4000,10
ZooKeeper,15,RandomForest,No,No,0.8581,0.8583,0.8472,0.2968,0.1750,10
ZooKeeper,16,RandomForest,No,No,0.8606,0.9250,0.7854,0.2413,0.2083,10
ZooKeeper,17,RandomForest,No,No,0.8457,0.8250,0.9528,0.7283,0.1875,10
ZooKeeper,18,RandomForest,No,No,0.8250,0.8667,0.9491,0.6160,0.2417,10
ZooKeeper,19,RandomForest,No,No,0.8520,0.8500,0.8313,0.5491,0.1875,10
ZooKeeper,21,RandomForest,No,No,0.8085,0.7690,0.8307,0.4837,0.1034,10
ZooKeeper,1,RandomForest,No,Yes,0.8333,0.8551,0.9649,0.7711,0.1918,10
ZooKeeper,2,RandomForest,No,Yes,0.6396,0.6250,0.5687,0.1780,0.1375,10
ZooKeeper,3,RandomForest,No,Yes,0.6884,0.8000,0.8700,0.5406,0.1500,10
ZooKeeper,5,RandomForest,No,Yes,0.7217,0.8064,0.8999,0.5962,0.1596,10
ZooKeeper,7,RandomForest,No,Yes,0.8432,0.8382,0.7503,0.5057,0.1000,10
ZooKeeper,8,RandomForest,No,Yes,0.7053,0.6268,0.8605,0.5209,0.2390,10
ZooKeeper,9,RandomForest,No,Yes,0.9012,0.7000,0.9815,0.6967,0.3000,10
ZooKeeper,10,RandomForest,No,Yes,0.7239,0.6833,0.9559,0.6463,0.2639,10
ZooKeeper,11,RandomForest,No,Yes,0.7416,0.7529,0.7903,0.4323,0.1824,10
ZooKeeper,12,RandomForest,No,Yes,0.7438,0.7417,0.8702,0.5585,0.1400,10
ZooKeeper,14,RandomForest,No,Yes,1.0000,0.6667,1.0000,0.7500,0.3333,10
ZooKeeper,15,RandomForest,No,Yes,0.8838,0.7917,0.8500,0.3037,0.1667,10
ZooKeeper,16,RandomForest,No,Yes,0.8755,0.9083,0.7058,0.3145,0.1458,10
ZooKeeper,17,RandomForest,No,Yes,0.8101,0.8375,0.9555,0.7051,0.1875,10
ZooKeeper,18,RandomForest,No,Yes,0.8720,0.8417,0.9495,0.6710,0.2417,10
ZooKeeper,19,RandomForest,No,Yes,0.8536,0.8000,0.8141,0.5103,0.2250,10
ZooKeeper,21,RandomForest,No,Yes,0.8383,0.7310,0.8298,0.4984,0.1069,10
ZooKeeper,1,RandomForest,Yes,No,0.7998,0.8367,0.9564,0.7312,0.1714,10
ZooKeeper,2,RandomForest,Yes,No,0.6613,0.6125,0.5740,0.1944,0.1750,10
ZooKeeper,3,RandomForest,Yes,No,0.7275,0.7095,0.8726,0.5310,0.1476,10
ZooKeeper,4,RandomForest,Yes,No,0.8816,0.9313,0.5016,-0.0845,0.2500,10
ZooKeeper,5,RandomForest,Yes,No,0.7289,0.7085,0.8915,0.5436,0.1681,10
ZooKeeper,7,RandomForest,Yes,No,0.7921,0.8882,0.6819,0.4258,0.1265,10
ZooKeeper,8,RandomForest,Yes,No,0.7425,0.5683,0.8245,0.5093,0.2366,10
ZooKeeper,9,RandomForest,Yes,No,0.9031,0.7583,0.9745,0.7428,0.2750,10
ZooKeeper,10,RandomForest,Yes,No,0.7724,0.6222,0.9392,0.6353,0.2611,10
ZooKeeper,11,RandomForest,Yes,No,0.8025,0.8706,0.8359,0.6115,0.2176,10
ZooKeeper,12,RandomForest,Yes,No,0.8156,0.6900,0.8881,0.5911,0.1400,10
