Dataset,Protocol,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Releases
ZooKeeper,10x10Fold,RandomForest,No,No,0.8262,0.7924,0.8591,0.5339,0.1973,19
ZooKeeper,10x10Fold,RandomForest,No,Yes,0.8153,0.7781,0.8598,0.5666,0.1947,18
ZooKeeper,10x10Fold,RandomForest,Yes,No,0.8252,0.7813,0.8132,0.5257,0.2052,19
ZooKeeper,10x10Fold,RandomForest,Yes,Yes,0.8110,0.7743,0.8292,0.5538,0.1950,18
ZooKeeper,10x10Fold,NaiveBayes,No,No,0.8093,0.7148,0.7869,0.4836,0.2156,19
ZooKeeper,10x10Fold,NaiveBayes,No,Yes,0.7994,0.7250,0.8086,0.5238,0.2151,18
ZooKeeper,10x10Fold,NaiveBayes,Yes,No,0.8154,0.7035,0.7531,0.3915,0.1915,19
ZooKeeper,10x10Fold,NaiveBayes,Yes,Yes,0.8086,0.7049,0.7959,0.4405,0.1938,18
ZooKeeper,10x10Fold,IBk,No,No,0.8091,0.7698,0.7509,0.5087,0.2630,19
ZooKeeper,10x10Fold,IBk,No,Yes,0.8005,0.7550,0.7713,0.5315,0.2620,18
ZooKeeper,10x10Fold,IBk,Yes,No,0.8180,0.7894,0.7601,0.5147,0.2601,19
ZooKeeper,10x10Fold,IBk,Yes,Yes,0.8069,0.7729,0.7763,0.5433,0.2605,18
