Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,1,RandomForest,No,No,0.8454,0.8347,0.9731,0.7913,0.3429,10
ZooKeeper,2,RandomForest,No,No,0.7288,0.4385,0.9251,0.4992,0.5500,10
ZooKeeper,3,RandomForest,No,No,0.7445,0.6826,0.9228,0.6431,0.3587,10
ZooKeeper,4,RandomForest,No,No,0.6606,0.5327,0.8901,0.4849,0.3288,10
ZooKeeper,5,RandomForest,No,No,0.7088,0.5722,0.9337,0.5530,0.3685,10
ZooKeeper,6,RandomForest,No,No,0.9018,0.6761,0.9405,0.7340,0.6174,10
ZooKeeper,7,RandomForest,No,No,0.8253,0.6340,0.9074,0.6693,0.5830,10
ZooKeeper,8,RandomForest,No,No,0.7627,0.4680,0.8888,0.5257,0.4760,10
ZooKeeper,9,RandomForest,No,No,0.7950,0.4796,0.9186,0.5475,0.4776,10
ZooKeeper,10,RandomForest,No,No,0.6883,0.4660,0.9481,0.5178,0.5283,10
ZooKeeper,11,RandomForest,No,No,0.7255,0.4792,0.9191,0.5451,0.6188,10
ZooKeeper,12,RandomForest,No,No,0.8052,0.6623,0.9567,0.6822,0.3984,10
ZooKeeper,13,RandomForest,No,No,0.7543,0.4667,0.8872,0.5358,0.4333,10
ZooKeeper,14,RandomForest,No,No,0.7305,0.4652,0.8917,0.5252,0.3761,10
ZooKeeper,15,RandomForest,No,No,0.7660,0.5358,0.8971,0.5842,0.3604,10
ZooKeeper,16,RandomForest,No,No,0.7830,0.5615,0.9152,0.6111,0.4269,10
ZooKeeper,17,RandomForest,No,No,0.7857,0.5760,0.9300,0.6257,0.4140,10
ZooKeeper,18,RandomForest,No,No,0.8065,0.5592,0.9282,0.6237,0.4082,10
ZooKeeper,19,RandomForest,No,No,0.7816,0.4906,0.8964,0.5588,0.3698,10
ZooKeeper,20,RandomForest,No,No,0.7718,0.5667,0.9067,0.5783,0.3609,10
ZooKeeper,21,RandomForest,No,No,0.7793,0.6178,0.8952,0.6073,0.2208,10
ZooKeeper,1,RandomForest,No,Yes,0.8224,0.8571,0.9746,0.7886,0.3878,10
ZooKeeper,2,RandomForest,No,Yes,0.6406,0.5385,0.9256,0.5312,0.5115,10
ZooKeeper,3,RandomForest,No,Yes,0.7057,0.7391,0.9216,0.6494,0.3870,10
ZooKeeper,4,RandomForest,No,Yes,0.6373,0.6481,0.8931,0.5357,0.3365,10
ZooKeeper,5,RandomForest,No,Yes,0.6929,0.6519,0.9318,0.5924,0.3685,10
ZooKeeper,6,RandomForest,No,Yes,0.8467,0.7022,0.9385,0.7250,0.6043,10
ZooKeeper,7,RandomForest,No,Yes,0.7593,0.6617,0.9083,0.6531,0.5979,10
ZooKeeper,8,RandomForest,No,Yes,0.6447,0.5200,0.8846,0.5093,0.4460,10
ZooKeeper,9,RandomForest,No,Yes,0.6683,0.5653,0.9201,0.5522,0.4878,10
ZooKeeper,10,RandomForest,No,Yes,0.6395,0.5717,0.9498,0.5634,0.5415,10
ZooKeeper,11,RandomForest,No,Yes,0.6579,0.5542,0.9185,0.5662,0.5938,10
ZooKeeper,12,RandomForest,No,Yes,0.7547,0.7262,0.9583,0.6937,0.4180,10
ZooKeeper,13,RandomForest,No,Yes,0.6955,0.5511,0.8934,0.5716,0.4511,10
ZooKeeper,14,RandomForest,No,Yes,0.6753,0.5413,0.8892,0.5542,0.4022,10
ZooKeeper,15,RandomForest,No,Yes,0.7024,0.6132,0.8952,0.6052,0.3774,10
ZooKeeper,16,RandomForest,No,Yes,0.7482,0.6288,0.9149,0.6400,0.4365,10
ZooKeeper,17,RandomForest,No,Yes,0.7276,0.6500,0.9270,0.6456,0.4280,10
ZooKeeper,18,RandomForest,No,Yes,0.7323,0.6449,0.9229,0.6462,0.4061,10
ZooKeeper,19,RandomForest,No,Yes,0.6882,0.5415,0.8996,0.5559,0.3811,10
ZooKeeper,20,RandomForest,No,Yes,0.7153,0.6368,0.9067,0.5929,0.3655,10
ZooKeeper,21,RandomForest,No,Yes,0.7091,0.6713,0.8959,0.5971,0.2277,10
ZooKeeper,1,RandomForest,Yes,No,0.7822,0.7837,0.9596,0.7162,0.3347,10
ZooKeeper,2,RandomForest,Yes,No,0.6441,0.4577,0.9115,0.4783,0.5154,10
ZooKeeper,3,RandomForest,Yes,No,0.7353,0.6413,0.9073,0.6117,0.3652,10
ZooKeeper,4,RandomForest,Yes,No,0.6525,0.5288,0.8742,0.4768,0.3192,10
ZooKeeper,5,RandomForest,Yes,No,0.7291,0.5944,0.9194,0.5785,0.3889,10
ZooKeeper,6,RandomForest,Yes,No,0.7906,0.6370,0.9164,0.6526,0.5870,10
ZooKeeper,7,RandomForest,Yes,No,0.7415,0.6106,0.8814,0.6106,0.5404,10
ZooKeeper,8,RandomForest,Yes,No,0.6844,0.4340,0.8531,0.4680,0.4380,10
ZooKeeper,9,RandomForest,Yes,No,0.6554,0.4388,0.8806,0.4621,0.4510,10
ZooKeeper,10,RandomForest,Yes,No,0.6804,0.4585,0.9102,0.5085,0.5358,10
ZooKeeper,11,RandomForest,Yes,No,0.7684,0.5521,0.8962,0.6139,0.6563,10
ZooKeeper,12,RandomForest,Yes,No,0.7642,0.6738,0.9563,0.6672,0.4393,10
ZooKeeper,13,RandomForest,Yes,No,0.6564,0.4444,0.8464,0.4821,0.4333,10
ZooKeeper,14,RandomForest,Yes,No,0.6473,0.4304,0.8469,0.4671,0.3761,10
ZooKeeper,15,RandomForest,Yes,No,0.6565,0.4736,0.8575,0.4921,0.3717,10
ZooKeeper,16,RandomForest,Yes,No,0.6942,0.5058,0.8795,0.5326,0.4404,10
ZooKeeper,17,RandomForest,Yes,No,0.7438,0.5700,0.9168,0.6027,0.4080,10
ZooKeeper,18,RandomForest,Yes,No,0.7591,0.5898,0.9176,0.6247,0.4020,10
ZooKeeper,19,RandomForest,Yes,No,0.7022,0.5226,0.8783,0.5497,0.3509,10
ZooKeeper,20,RandomForest,Yes,No,0.6962,0.5310,0.8882,0.5137,0.3529,10
ZooKeeper,21,RandomForest,Yes,No,0.7131,0.5752,0.8761,0.5399,0.2208,10
ZooKeeper,1,RandomForest,Yes,Yes,0.7627,0.8653,0.9614,0.7478,0.3571,10
ZooKeeper,2,RandomForest,Yes,Yes,0.5381,0.4962,0.9121,0.4493,0.5077,10
ZooKeeper,3,RandomForest,Yes,Yes,0.6816,0.7565,0.9069,0.6397,0.3913,10
ZooKeeper,4,RandomForest,Yes,Yes,0.5969,0.6288,0.8726,0.4938,0.3192,10
ZooKeeper,5,RandomForest,Yes,Yes,0.6794,0.6704,0.9204,0.5937,0.3963,10
ZooKeeper,6,RandomForest,Yes,Yes,0.7046,0.6587,0.9181,0.6173,0.5696,10
ZooKeeper,7,RandomForest,Yes,Yes,0.6643,0.6319,0.8856,0.5787,0.5532,10
ZooKeeper,8,RandomForest,Yes,Yes,0.5603,0.4820,0.8535,0.4402,0.4160,10
ZooKeeper,9,RandomForest,Yes,Yes,0.5565,0.5082,0.8788,0.4549,0.4551,10
ZooKeeper,10,RandomForest,Yes,Yes,0.5908,0.5377,0.9182,0.5181,0.5566,10
ZooKeeper,11,RandomForest,Yes,Yes,0.6316,0.5958,0.9049,0.5761,0.6396,10
ZooKeeper,12,RandomForest,Yes,Yes,0.7324,0.7033,0.9558,0.6667,0.4393,10
ZooKeeper,13,RandomForest,Yes,Yes,0.5896,0.5133,0.8569,0.4948,0.4378,10
ZooKeeper,14,RandomForest,Yes,Yes,0.5907,0.5261,0.8567,0.5016,0.3674,10
ZooKeeper,15,RandomForest,Yes,Yes,0.5944,0.5377,0.8616,0.5005,0.3981,10
ZooKeeper,16,RandomForest,Yes,Yes,0.6347,0.5712,0.8836,0.5437,0.4346,10
ZooKeeper,17,RandomForest,Yes,Yes,0.6781,0.6240,0.9162,0.6030,0.4280,10
ZooKeeper,18,RandomForest,Yes,Yes,0.7133,0.6653,0.9187,0.6481,0.4245,10
ZooKeeper,19,RandomForest,Yes,Yes,0.6142,0.5774,0.8858,0.5373,0.3830,10
ZooKeeper,20,RandomForest,Yes,Yes,0.6347,0.6034,0.8898,0.5202,0.3701,10
ZooKeeper,21,RandomForest,Yes,Yes,0.6308,0.6505,0.8795,0.5274,0.2347,10
ZooKeeper,1,NaiveBayes,No,No,0.7808,0.5959,0.8682,0.5934,0.2735,10
ZooKeeper,2,NaiveBayes,No,No,0.5784,0.3846,0.7889,0.4029,0.4615,10
ZooKeeper,3,NaiveBayes,No,No,0.7052,0.7217,0.9041,0.6397,0.3326,10
ZooKeeper,4,NaiveBayes,No,No,0.8145,0.4808,0.8429,0.5240,0.3692,10
ZooKeeper,5,NaiveBayes,No,No,0.6743,0.6241,0.8735,0.5639,0.3648,10
ZooKeeper,6,NaiveBayes,No,No,0.9237,0.5522,0.9082,0.6462,0.5217,10
ZooKeeper,7,NaiveBayes,No,No,0.6452,0.7000,0.8859,0.6028,0.4617,10
ZooKeeper,8,NaiveBayes,No,No,0.6025,0.5960,0.8638,0.5289,0.3720,10
ZooKeeper,9,NaiveBayes,No,No,0.4608,0.5163,0.8243,0.3935,0.3265,10
ZooKeeper,10,NaiveBayes,No,No,0.5567,0.6226,0.9289,0.5405,0.4151,10
ZooKeeper,11,NaiveBayes,No,No,0.5566,0.6042,0.9280,0.5372,0.5396,10
ZooKeeper,12,NaiveBayes,No,No,0.6895,0.7787,0.9505,0.6787,0.4262,10
ZooKeeper,13,NaiveBayes,No,No,0.5255,0.5778,0.8805,0.4894,0.3644,10
ZooKeeper,14,NaiveBayes,No,No,0.5307,0.5870,0.8873,0.4956,0.3587,10
ZooKeeper,15,NaiveBayes,No,No,0.7468,0.5283,0.8904,0.5712,0.4283,10
ZooKeeper,16,NaiveBayes,No,No,0.7697,0.5846,0.9103,0.6215,0.4596,10
ZooKeeper,17,NaiveBayes,No,No,0.5865,0.6080,0.8961,0.5394,0.4140,10
ZooKeeper,18,NaiveBayes,No,No,0.6219,0.5531,0.8895,0.5334,0.3633,10
ZooKeeper,19,NaiveBayes,No,No,0.7100,0.5491,0.8747,0.5713,0.3868,10
ZooKeeper,20,NaiveBayes,No,No,0.7606,0.3759,0.7778,0.4228,0.2690,10
ZooKeeper,21,NaiveBayes,No,No,0.5968,0.4703,0.8027,0.4019,0.2663,10
ZooKeeper,1,NaiveBayes,No,Yes,0.7781,0.6082,0.8667,0.6005,0.2796,10
ZooKeeper,2,NaiveBayes,No,Yes,0.5746,0.3692,0.7890,0.3905,0.4615,10
ZooKeeper,3,NaiveBayes,No,Yes,0.6986,0.7304,0.9065,0.6398,0.3522,10
ZooKeeper,4,NaiveBayes,No,Yes,0.8343,0.4731,0.8397,0.5253,0.3692,10
ZooKeeper,5,NaiveBayes,No,Yes,0.6592,0.6259,0.8708,0.5550,0.3556,10
ZooKeeper,6,NaiveBayes,No,Yes,0.9236,0.5261,0.9080,0.6240,0.5217,10
ZooKeeper,7,NaiveBayes,No,Yes,0.6512,0.7106,0.8861,0.6124,0.5021,10
ZooKeeper,8,NaiveBayes,No,Yes,0.5804,0.6020,0.8655,0.5173,0.4100,10
ZooKeeper,9,NaiveBayes,No,Yes,0.4709,0.5286,0.8248,0.4064,0.3510,10
ZooKeeper,10,NaiveBayes,No,Yes,0.5724,0.6887,0.9319,0.5805,0.4264,10
ZooKeeper,11,NaiveBayes,No,Yes,0.5612,0.6021,0.9286,0.5391,0.5625,10
ZooKeeper,12,NaiveBayes,No,Yes,0.6789,0.7902,0.9506,0.6766,0.4361,10
ZooKeeper,13,NaiveBayes,No,Yes,0.4983,0.5867,0.8815,0.4740,0.3844,10
