Dataset,Protocol,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Runs
ZooKeeper,WalkForward,RandomForest,No,No,0.8201,0.8057,0.8671,0.4736,0.2191,19
ZooKeeper,WalkForward,RandomForest,No,Yes,0.7699,0.8719,0.8701,0.4354,0.1857,19
ZooKeeper,WalkForward,RandomForest,Yes,No,0.7436,0.8227,0.8366,0.3980,0.1910,19
ZooKeeper,WalkForward,RandomForest,Yes,Yes,0.7218,0.8758,0.8336,0.3795,0.2024,19
ZooKeeper,WalkForward,NaiveBayes,No,No,0.7521,0.7539,0.8053,0.3391,0.1799,19
ZooKeeper,WalkForward,NaiveBayes,No,Yes,0.7455,0.7673,0.8058,0.3372,0.1814,19
ZooKeeper,WalkForward,NaiveBayes,Yes,No,0.7210,0.7872,0.8042,0.2944,0.1855,19
ZooKeeper,WalkForward,NaiveBayes,Yes,Yes,0.6984,0.8031,0.7952,0.3154,0.2084,19
ZooKeeper,WalkForward,IBk,No,No,0.6731,0.7954,0.6448,0.2410,0.2142,19
ZooKeeper,WalkForward,IBk,No,Yes,0.6588,0.8167,0.6340,0.2272,0.2161,19
ZooKeeper,WalkForward,IBk,Yes,No,0.6554,0.7928,0.6309,0.2223,0.2010,19
ZooKeeper,WalkForward,IBk,Yes,Yes,0.6426,0.8070,0.6093,0.1909,0.2102,19
