Dataset,Train_Through_Release,Test_Release,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Train_Instances,Test_Instances
ZooKeeper,1,2,RandomForest,No,No,1.0000,0.2500,0.8958,0.2222,0.2500,209,14
ZooKeeper,2,3,RandomForest,No,No,0.6939,0.8095,0.8495,0.5527,0.1905,419,104
ZooKeeper,3,4,RandomForest,No,No,0.9231,0.7500,0.6875,0.1509,0.1875,647,18
ZooKeeper,4,5,RandomForest,No,No,0.6721,0.8723,0.8879,0.5710,0.1702,875,121
ZooKeeper,5,6,RandomForest,No,No,1.0000,0.9048,NaN,0.0000,0.1905,1144,21
ZooKeeper,6,7,RandomForest,No,No,0.7879,0.7647,0.7509,0.3219,0.1176,1415,50
ZooKeeper,7,8,RandomForest,No,No,0.5294,0.8780,0.8663,0.4403,0.2439,1698,130
ZooKeeper,8,9,RandomForest,No,No,0.6364,0.5833,0.7899,0.4177,0.2500,2032,35
ZooKeeper,9,10,RandomForest,No,No,0.7647,0.7222,0.9479,0.6943,0.2778,2368,220
ZooKeeper,10,11,RandomForest,No,No,0.7273,0.9412,0.8550,0.5293,0.1765,2913,31
ZooKeeper,11,12,RandomForest,No,No,0.8600,0.7167,0.8911,0.6488,0.1333,3461,144
ZooKeeper,13,14,RandomForest,No,No,0.7500,1.0000,1.0000,0.8000,0.6667,4251,12
ZooKeeper,14,15,RandomForest,No,No,0.8462,0.9167,0.8889,0.2857,0.2500,4646,15
ZooKeeper,15,16,RandomForest,No,No,0.9200,0.9583,0.7833,0.6063,0.1250,5042,29
ZooKeeper,16,17,RandomForest,No,No,0.8750,0.8750,0.9250,0.7950,0.1875,5438,41
ZooKeeper,17,18,RandomForest,No,No,0.8000,1.0000,0.9769,0.6957,0.2500,5849,21
ZooKeeper,18,19,RandomForest,No,No,1.0000,0.8750,0.9375,0.8235,0.1250,6263,12
ZooKeeper,19,20,RandomForest,No,No,1.0000,0.7500,NaN,0.0000,0.2500,6677,8
ZooKeeper,20,21,RandomForest,No,No,0.7963,0.7414,0.8074,0.4439,0.1207,7091,96
ZooKeeper,1,2,RandomForest,No,Yes,1.0000,0.6250,0.8750,0.5882,0.2500,258,14
ZooKeeper,2,3,RandomForest,No,Yes,0.6731,0.8333,0.8498,0.5385,0.1905,494,104
ZooKeeper,3,4,RandomForest,No,Yes,0.9375,0.9375,0.6719,0.4375,0.1875,768,18
ZooKeeper,4,5,RandomForest,No,Yes,0.6232,0.9149,0.8928,0.5192,0.1489,1048,121
ZooKeeper,5,6,RandomForest,No,Yes,1.0000,0.9048,NaN,0.0000,0.1905,1371,21
ZooKeeper,6,7,RandomForest,No,Yes,0.7778,0.8235,0.7619,0.3346,0.1176,1688,50
ZooKeeper,7,8,RandomForest,No,Yes,0.4353,0.9024,0.8383,0.2816,0.2195,2018,130
ZooKeeper,8,9,RandomForest,No,Yes,0.6000,0.7500,0.8714,0.4615,0.2500,2402,35
ZooKeeper,9,10,RandomForest,No,Yes,0.6512,0.7778,0.9427,0.6458,0.3056,2787,220
ZooKeeper,10,11,RandomForest,No,Yes,0.7273,0.9412,0.8529,0.5293,0.1765,3385,31
ZooKeeper,11,12,RandomForest,No,Yes,0.7833,0.7833,0.8922,0.6286,0.1167,3981,144
ZooKeeper,13,14,RandomForest,No,Yes,0.7500,1.0000,1.0000,0.8000,0.3333,4877,12
ZooKeeper,14,15,RandomForest,No,Yes,0.7857,0.9167,0.8889,-0.1111,0.1667,5318,15
ZooKeeper,15,16,RandomForest,No,Yes,0.8846,0.9583,0.7500,0.4257,0.0833,5767,29
ZooKeeper,16,17,RandomForest,No,Yes,0.7143,0.9375,0.9650,0.6604,0.1875,6215,41
ZooKeeper,17,18,RandomForest,No,Yes,0.7500,1.0000,0.9722,0.5882,0.2500,6676,21
ZooKeeper,18,19,RandomForest,No,Yes,0.8000,1.0000,0.9531,0.5714,0.1250,7139,12
ZooKeeper,19,20,RandomForest,No,Yes,1.0000,0.7500,NaN,0.0000,0.1250,7606,8
ZooKeeper,20,21,RandomForest,No,Yes,0.7344,0.8103,0.8142,0.3731,0.1034,8107,96
ZooKeeper,1,2,RandomForest,Yes,No,0.6000,0.3750,0.6875,0.0392,0.3750,209,14
ZooKeeper,2,3,RandomForest,Yes,No,0.5161,0.7619,0.7800,0.2582,0.2381,419,104
ZooKeeper,3,4,RandomForest,Yes,No,0.9375,0.9375,0.8125,0.4375,0.1250,647,18
ZooKeeper,4,5,RandomForest,Yes,No,0.5775,0.8723,0.8328,0.4271,0.1489,875,121
ZooKeeper,5,6,RandomForest,Yes,No,1.0000,0.8571,NaN,0.0000,0.0952,1144,21
ZooKeeper,6,7,RandomForest,Yes,No,0.6889,0.9118,0.6756,0.0449,0.1176,1415,50
ZooKeeper,7,8,RandomForest,Yes,No,0.4658,0.8293,0.8437,0.3231,0.2195,1698,130
ZooKeeper,8,9,RandomForest,Yes,No,0.6667,0.6667,0.8877,0.4928,0.2500,2032,35
ZooKeeper,9,10,RandomForest,Yes,No,0.4179,0.7778,0.9040,0.4203,0.2500,2368,220
ZooKeeper,10,11,RandomForest,Yes,No,0.8125,0.7647,0.8319,0.5470,0.1765,2913,31
ZooKeeper,11,12,RandomForest,Yes,No,0.7455,0.6833,0.8508,0.5229,0.1333,3461,144
