Project_Name,Class_Name,Release_ID,Original_NSmells,Actual_Bugginess,Predicted_BPlus,Probability_BPlus_YES,Predicted_B,Probability_B_YES,Transition,Preventable_Actual_Buggy
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JDouble.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,1,3.0000,YES,YES,0.86000000,YES,0.84000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/CGenerator.java,1,7.0000,NO,NO,0.02000000,NO,0.04000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,1,4.0000,YES,YES,0.88000000,YES,0.87000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,1,11.0000,YES,YES,1.00000000,YES,0.98000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/RecordReader.java,1,9.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,1,16.0000,YES,YES,0.96000000,YES,0.93000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,1,1.0000,NO,NO,0.04000000,NO,0.05000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,1,9.0000,YES,YES,0.86000000,YES,0.81000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,1,11.0000,NO,NO,0.02000000,NO,0.09000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,1,34.0000,NO,NO,0.04000000,NO,0.16000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,1,1.0000,NO,NO,0.19000000,NO,0.25000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,1,84.0000,NO,NO,0.03000000,NO,0.14000000,NO_TO_NO,NO
