Class Name,LOC,NSmells
zookeeper-server/src/main/java/org/apache/zookeeper/server/ServerMetrics.java,334,149
zookeeper-server/src/main/java/org/apache/zookeeper/KeeperException.java,519,87
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeer.java,2020,59
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/gui/ZooInspectorNodeViewersDialog.java,557,47
zookeeper-server/src/main/java/org/apache/zookeeper/server/SnapshotComparer.java,367,46
zookeeper-it/src/main/java/org/apache/zookeeper/test/system/GenerateLoad.java,611,41
zookeeper-server/src/test/java/org/apache/zookeeper/common/CertificatesToPlayWith.java,436,36
zookeeper-jute/src/main/java/org/apache/jute/compiler/JRecord.java,804,34
zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,1322,32
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/manager/ZooInspectorManagerImpl.java,552,32
zookeeper-server/src/main/java/org/apache/zookeeper/server/SnapshotFormatter.java,178,31
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,787,29
zookeeper-server/src/test/java/org/apache/zookeeper/server/quorum/auth/MiniKdc.java,266,25
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,944,24
zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumBase.java,462,23
zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServer.java,1698,22
zookeeper-it/src/main/java/org/apache/zookeeper/test/system/QuorumPeerInstance.java,212,22
zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxn.java,1283,20
zookeeper-contrib/zookeeper-contrib-monitoring/check_zookeeper.py,272,20
zookeeper-server/src/main/java/org/apache/zookeeper/metrics/impl/DefaultMetricsProvider.java,181,20
zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeperMain.java,365,19
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Learner.java,682,18
zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/TxnLogToolkit.java,417,17
zookeeper-it/src/main/java/org/apache/zookeeper/test/system/InstanceManager.java,302,17
zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumUtil.java,255,17
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LearnerHandler.java,822,16
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/FastLeaderElection.java,695,16
zookeeper-server/src/main/java/org/apache/zookeeper/server/Request.java,412,16
zookeeper-server/src/main/java/org/apache/zookeeper/common/ZKHostnameVerifier.java,273,16
zookeeper-server/src/main/java/org/apache/zookeeper/ServerAdminClient.java,224,16
zookeeper-server/src/main/java/org/apache/zookeeper/util/SecurityUtils.java,188,16
zookeeper-it/src/main/java/org/apache/zookeeper/test/system/InstanceContainer.java,254,15
zookeeper-it/src/main/java/org/apache/zookeeper/server/watch/WatchBench.java,201,15
zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeper.java,1334,14
zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientBase.java,574,14
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/gui/ZooInspectorPanel.java,182,14
zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumBaseOracle_2Nodes.java,281,13
zookeeper-server/src/test/java/org/apache/zookeeper/test/JMXEnv.java,235,13
zookeeper-server/src/main/java/org/apache/zookeeper/server/NettyServerCnxnFactory.java,655,12
zookeeper-server/src/main/java/org/apache/zookeeper/client/ZooKeeperSaslClient.java,321,12
zookeeper-server/src/main/java/org/apache/zookeeper/server/util/RequestPathMetricsCollector.java,286,12
zookeeper-server/src/main/java/org/apache/zookeeper/Shell.java,266,12
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Leader.java,1177,11
zookeeper-server/src/main/java/org/apache/zookeeper/server/PrepRequestProcessor.java,877,11
zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,374,11
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,212,11
zookeeper-server/src/test/java/org/apache/zookeeper/test/ThrottledOpHelper.java,189,11
zookeeper-server/src/main/java/org/apache/zookeeper/server/admin/Commands.java,797,10
zookeeper-server/src/main/java/org/apache/zookeeper/ZKWatchManager.java,362,10
zookeeper-contrib/zookeeper-contrib-zkpython/src/test/get_set_test.py,152,10
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/gui/ZooInspectorConnectionPropertiesDialog.java,276,9
zookeeper-server/src/test/java/org/apache/zookeeper/server/util/PortForwarder.java,177,9
zookeeper-server/src/main/java/org/apache/zookeeper/common/ZKConfig.java,157,9
zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxn.java,535,8
zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileTxnLog.java,502,8
zookeeper-server/src/main/java/org/apache/zookeeper/server/NettyServerCnxn.java,501,8
zookeeper-server/src/main/java/org/apache/zookeeper/Login.java,333,8
zookeeper-server/src/main/java/org/apache/zookeeper/cli/SetQuotaCommand.java,257,8
zookeeper-server/src/main/java/org/apache/zookeeper/ZKUtil.java,184,8
zookeeper-server/src/main/java/org/apache/zookeeper/util/PemReader.java,158,8
zookeeper-server/src/main/java/org/apache/zookeeper/server/NIOServerCnxnFactory.java,630,7
zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOps.java,624,7
zookeeper-server/src/main/java/org/apache/zookeeper/common/X509Util.java,555,7
zookeeper-server/src/main/java/org/apache/zookeeper/server/ServerCnxn.java,443,7
zk-merge-pr.py,357,7
zookeeper-recipes/zookeeper-recipes-queue/src/main/java/org/apache/zookeeper/recipes/queue/DistributedQueue.java,185,7
zookeeper-server/src/test/java/org/apache/zookeeper/test/IntegrityCheck.java,157,7
zookeeper-server/src/main/java/org/apache/zookeeper/server/ZKDatabase.java,428,6
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Observer.java,210,6
zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServerMain.java,208,6
zookeeper-server/src/main/java/org/apache/zookeeper/util/CircularBlockingQueue.java,188,6
zookeeper-contrib/zookeeper-contrib-monitoring/ganglia/zookeeper_ganglia.py,180,6
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/auth/SaslQuorumAuthLearner.java,176,6
zookeeper-server/src/main/java/org/apache/zookeeper/server/FinalRequestProcessor.java,606,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/ObserverMaster.java,416,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/ServerCnxnFactory.java,273,5
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/com/nitido/utils/toaster/Toaster.java,268,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/KerberosName.java,262,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/flexible/QuorumHierarchical.java,258,5
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/retry/ZooKeeperRetry.java,226,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,197,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,188,5
zookeeper-server/src/main/java/org/apache/zookeeper/server/RequestThrottler.java,156,5
zookeeper-server/src/test/java/org/apache/zookeeper/server/embedded/ZookeeperServeInfo.java,239,4
zookeeper-recipes/zookeeper-recipes-election/src/main/java/org/apache/zookeeper/recipes/leader/LeaderElectionSupport.java,235,4
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/Follower.java,211,4
zookeeper-jute/src/main/java/org/apache/jute/ToStringOutputArchive.java,168,4
zookeeper-contrib/zookeeper-contrib-rest/src/main/java/org/apache/zookeeper/server/jersey/resources/ZNodeResource.java,331,3
zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxnSocketNIO.java,308,3
zookeeper-server/src/main/java/org/apache/zookeeper/server/watch/WatchManagerOptimized.java,272,3
zookeeper-server/src/main/java/org/apache/zookeeper/client/HostConnectionManager.java,206,3
zookeeper-server/src/main/java/org/apache/zookeeper/server/embedded/ZooKeeperServerEmbeddedImpl.java,200,3
zookeeper-server/src/main/java/org/apache/zookeeper/audit/AuditHelper.java,164,3
zookeeper-server/src/main/java/org/apache/zookeeper/server/persistence/FileSnap.java,161,3
zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/gui/ZooInspectorTreeView.java,447,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/UnifiedServerSocket.java,411,2
zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxnSocketNetty.java,385,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/CommitProcessor.java,374,2
zookeeper-server/src/main/java/org/apache/zookeeper/Op.java,347,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/admin/JettyAdminServer.java,271,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/BlueThrottle.java,234,2
zookeeper-contrib/zookeeper-contrib-monitoring/test.py,202,2
zookeeper-server/src/main/java/org/apache/zookeeper/common/PathTrie.java,185,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/admin/ReadAheadEndpoint.java,176,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/ReferenceCountedACLCache.java,176,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/SyncRequestProcessor.java,174,2
zookeeper-recipes/zookeeper-recipes-lock/src/main/java/org/apache/zookeeper/recipes/lock/WriteLock.java,160,2
zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumZooKeeperServer.java,151,2
zookeeper-metrics-providers/zookeeper-prometheus-metrics/src/main/java/org/apache/zookeeper/metrics/prometheus/PrometheusMetricsProvider.java,451,1
zookeeper-server/src/main/java/org/apache/zookeeper/server/watch/WatchManager.java,303,1
